one-digit ZIP,Year,HPI with 2000 base,HPI,Annual Change (%),Percent change since 2000,HPI year by year percent change since 2000,Percent change since 2010,zip
south central,2010,137.52433333333335,303.35527472527474,-1.058131868131868,37.524333333333345,-1.0702504737796659,0.0,7
south central,2011,136.4621111111111,300.87934065934064,-0.7443956043956044,36.46211111111111,-0.7723885631552907,-0.7723885631552951,7
south central,2012,137.90933333333334,303.87043956043954,0.963956043956044,37.909333333333336,1.060530436205731,0.2799504572524069,7
south central,2013,140.99744444444445,311.1247252747253,2.1571428571428575,40.997444444444454,2.239232861525764,2.5254520614129685,7
south central,2014,146.45555555555555,324.01703296703295,3.7547252747252746,46.45555555555555,3.871070949276456,6.494285051776681,7
south central,2015,151.8331111111111,336.85604395604395,3.577142857142857,51.833111111111094,3.67180031864045,10.404542549641699,7
south central,2016,157.16444444444443,349.7983516483517,3.5726373626373626,57.16444444444443,3.5113113959917897,14.281189833879882,7
south central,2017,163.30277777777778,364.0789010989011,3.8714285714285714,63.30277777777778,3.9056755839601998,18.744642362280928,7
south central,2018,169.86322222222222,379.07142857142856,3.851098901098901,69.86322222222222,4.017350184558333,23.515030471375155,7
south central,2019,176.36411111111113,393.8397802197802,3.703076923076923,76.36411111111113,3.8271315025357078,28.24211311291174,7
south central,2020,182.17655555555555,406.80285714285714,3.2923076923076926,82.17655555555555,3.2957070505021946,32.46859747648698,7
western,2000,100.0,302.51041095890406,4.542465753424658,0.0,-45.108194797598664,-27.844721841402702,8
western,2001,105.6545205479452,320.48958904109594,5.654520547945206,5.6545205479451965,5.6545205479451965,-23.764686811497803,8
western,2002,109.88986301369863,333.4909589041096,3.9906849315068493,9.88986301369863,4.008671322143265,-20.70866367436422,8
western,2003,113.61410958904109,343.8945205479452,3.358767123287671,13.614109589041092,3.389071997367221,-18.02142319861383,8
western,2004,122.69068493150685,371.0043835616438,7.793561643835617,22.69068493150685,7.98895082247888,-11.472195012983008,8
western,2005,140.38479452054796,422.89260273972604,13.943287671232877,40.384794520547956,14.421722071988597,1.295038978676638,8
western,2006,157.37849315068493,471.4350684931507,11.862328767123289,57.37849315068493,12.105084947536549,13.556889494685711,8
western,2007,165.0045205479452,490.9402739726027,5.176849315068494,65.00452054794519,4.845660448634859,19.059470775629688,8
western,2008,160.68575342465752,475.66397260273976,-2.1187671232876713,60.68575342465752,-2.6173629116014285,15.943252344799419,8
western,2009,149.02931506849313,439.05465753424653,-6.963013698630137,49.02931506849313,-7.254182843054513,7.53251682552358,8
western,2010,138.59,407.29068493150686,-6.990821917808219,38.59,-7.004873546989909,0.0,8
western,2011,131.2827397260274,385.40342465753423,-5.443287671232877,31.282739726027387,-5.272573976457617,-5.272573976457621,8
western,2012,131.50602739726028,385.89109589041095,0.2656164383561644,31.506027397260283,0.1700815139133116,-5.11146013618567,8
western,2013,137.13123287671232,404.47657534246576,4.683424657534246,37.13123287671232,4.27752673454207,-1.0525774754943977,8
western,2014,144.6395890410959,430.9269863013699,5.897808219178082,44.63958904109589,5.475307125061701,4.3650978000547545,8
western,2015,151.77945205479452,455.40712328767125,5.046164383561644,51.77945205479452,4.936313122177083,9.51688581773181,8
western,2016,160.07780821917808,485.0845205479452,5.58,60.07780821917809,5.467377864421152,15.504587790733876,8
western,2017,169.79698630136986,517.6932876712328,6.128219178082192,69.79698630136986,6.071533706211363,22.517487770668772,8
western,2018,181.4495890410959,557.0530136986301,6.81972602739726,81.44958904109589,6.862667585303317,30.925455690234422,8
western,2019,192.71534246575342,592.3153424657534,6.17013698630137,92.71534246575342,6.208751138094892,39.054291410457765,8
western,2020,201.93890410958906,619.0072602739726,4.835616438356165,101.93890410958906,4.786106557901437,45.709577970697055,8
pacific,2000,100.0,492.6931818181818,10.133977272727272,0.0,-50.48007195991735,-32.7367799109221,9
pacific,2001,109.01147727272728,540.1867045454545,9.011477272727273,9.011477272727276,9.011477272727287,-26.675370119690317,9
pacific,2002,117.96579545454546,585.6781818181818,8.115113636363636,17.965795454545457,8.214105895855429,-20.65240737357764,9
pacific,2003,127.34352272727273,632.6289772727273,7.696818181818182,27.343522727272727,7.949530825094708,-14.344646038769612,9
pacific,2004,148.5775,738.2056818181818,16.023977272727272,48.577499999999986,16.6745640594562,-0.061989172150295285,9
pacific,2005,181.2718181818182,904.3377272727273,21.301477272727272,81.27181818181819,22.004891845547412,21.929262023109494,9
pacific,2006,202.89420454545453,1008.7297727272727,12.029772727272727,102.89420454545453,11.92815661061488,36.473175351392975,9
pacific,2007,201.88181818181818,999.5402272727272,0.20670454545454547,101.88181818181819,-0.4989725388679367,35.79221168346844,9
pacific,2008,176.09727272727272,867.2182954545456,-11.607954545454545,76.09727272727272,-12.772098887738103,18.4486961254092,9
pacific,2009,154.78897727272727,760.17625,-11.87659090909091,54.788977272727266,-12.10029838880371,4.116050456587308,9
pacific,2010,148.6696590909091,733.8081818181819,-4.051363636363636,48.66965909090911,-3.9533294228285776,0.0,9
pacific,2011,141.26113636363635,697.2268181818182,-5.140227272727272,41.26113636363635,-4.983210947394834,-4.983210947394828,9
pacific,2012,141.05795454545455,697.9577272727273,-0.1393181818181818,41.05795454545455,-0.14383419489050198,-5.119877580939446,9
pacific,2013,152.42795454545455,758.5668181818182,8.271704545454545,52.42795454545456,8.060516712183109,2.5279505431887146,9
pacific,2014,169.39329545454547,848.4784090909092,11.120568181818182,69.39329545454547,11.130071881947213,13.939385137732904,9
pacific,2015,179.62704545454545,902.6664772727272,6.095909090909092,79.62704545454545,6.04141384258392,20.822934923598904,9
pacific,2016,193.9165909090909,979.6439772727273,7.909772727272727,93.9165909090909,7.955119129408272,30.434543332418635,9
pacific,2017,206.81670454545454,1043.760909090909,6.795113636363637,106.81670454545453,6.652403270853324,39.111575159387066,9
pacific,2018,222.09556818181818,1122.6248863636365,7.370909090909091,122.09556818181817,7.387635186405173,49.38863083422443,9
pacific,2019,230.28,1157.2070454545456,3.87375,130.28,3.6850946127306994,54.89374322112859,9
pacific,2020,236.30238636363637,1177.330340909091,2.7242045454545454,136.30238636363637,2.6152450771393054,58.944594215515934,9
